          GAMMA Circulations
-------------------------------------------------------
TIME STEP =        0
----------------------------------------------------
PANEL         L1           L2            L3           L4
PANEL         L1           L2            L3           L4
  1     0.6631048     0.1187892     0.2947969     0.0000078
  2     0.2947969     0.1129161     0.2103622     0.0000130
  3     0.2103622     0.0730541     0.1374557     0.0000173
  4     0.1374557     0.0349275    -0.0000206     0.0000206
  5     0.7818940    -0.0000000     0.2889239     0.1187892
  6     0.2889239     0.0000000     0.1705002     0.1129161
  7     0.1705002    -0.0000000     0.0993291     0.0730541
  8     0.0993291     0.0000000    -0.0000192     0.0349275
  9     0.7818940    -0.1187892     0.2889239    -0.0000000
 10     0.2889239    -0.1129161     0.1705002     0.0000000
 11     0.1705002    -0.0730541     0.0993291    -0.0000000
 12     0.0993291    -0.0349275    -0.0000192     0.0000000
 13     0.6631048    -0.0000078     0.2947969    -0.1187892
 14     0.2947969    -0.0000130     0.2103622    -0.1129161
 15     0.2103622    -0.0000173     0.1374557    -0.0730541
 16     0.1374557    -0.0000206    -0.0000206    -0.0349275
TIME STEP =       58
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6631122     0.1187901     0.2948019     0.0000074
  2     0.2948019     0.1129162     0.2103663     0.0000123
  3     0.2103663     0.0730533     0.1374588     0.0000164
  4     0.1374588     0.0349262    -0.0000194     0.0000194
  5     0.7819023    -0.0000000     0.2889280     0.1187901
  6     0.2889280     0.0000000     0.1705034     0.1129162
  7     0.1705034     0.0000000     0.0993316     0.0730533
  8     0.0993316     0.0000000    -0.0000181     0.0349262
  9     0.7819023    -0.1187901     0.2889280    -0.0000000
 10     0.2889280    -0.1129162     0.1705034     0.0000000
 11     0.1705034    -0.0730533     0.0993316     0.0000000
 12     0.0993316    -0.0349262    -0.0000181     0.0000000
 13     0.6631122    -0.0000074     0.2948019    -0.1187901
 14     0.2948019    -0.0000123     0.2103663    -0.1129162
 15     0.2103663    -0.0000164     0.1374588    -0.0730533
 16     0.1374588    -0.0000194    -0.0000194    -0.0349262
TIME STEP =       59
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6631192     0.1187909     0.2948065     0.0000070
  2     0.2948065     0.1129164     0.2103701     0.0000117
  3     0.2103701     0.0730527     0.1374617     0.0000155
  4     0.1374617     0.0349250    -0.0000184     0.0000184
  5     0.7819102    -0.0000000     0.2889319     0.1187909
  6     0.2889319     0.0000000     0.1705064     0.1129164
  7     0.1705064    -0.0000000     0.0993340     0.0730527
  8     0.0993340     0.0000000    -0.0000171     0.0349250
  9     0.7819102    -0.1187909     0.2889319    -0.0000000
 10     0.2889319    -0.1129164     0.1705064     0.0000000
 11     0.1705064    -0.0730527     0.0993340    -0.0000000
 12     0.0993340    -0.0349250    -0.0000171     0.0000000
 13     0.6631192    -0.0000070     0.2948065    -0.1187909
 14     0.2948065    -0.0000117     0.2103701    -0.1129164
 15     0.2103701    -0.0000155     0.1374617    -0.0730527
 16     0.1374617    -0.0000184    -0.0000184    -0.0349250
TIME STEP =       60
----------------------------------------------------
PANEL         L1           L2            L3           L4
  1     0.6631259     0.1187918     0.2948109     0.0000066
  2     0.2948109     0.1129165     0.2103737     0.0000110
  3     0.2103737     0.0730520     0.1374644     0.0000146
  4     0.1374644     0.0349238    -0.0000174     0.0000174
  5     0.7819176     0.0000000     0.2889356     0.1187918
  6     0.2889356     0.0000000     0.1705092     0.1129165
  7     0.1705092     0.0000000     0.0993362     0.0730520
  8     0.0993362     0.0000000    -0.0000162     0.0349238
  9     0.7819176    -0.1187918     0.2889356     0.0000000
 10     0.2889356    -0.1129165     0.1705092     0.0000000
 11     0.1705092    -0.0730520     0.0993362     0.0000000
 12     0.0993362    -0.0349238    -0.0000162     0.0000000
 13     0.6631259    -0.0000066     0.2948109    -0.1187918
 14     0.2948109    -0.0000110     0.2103737    -0.1129165
 15     0.2103737    -0.0000146     0.1374644    -0.0730520
 16     0.1374644    -0.0000174    -0.0000174    -0.0349238
